date,home_team,away_team,country,country_full_home,country_full_away,neutral,rank_diff,point_diff,point_increase_home,point_increase_away,score_diff,home_won,lati_cn_home,long_cn_home,lati_cn_away,long_cn_away,rest_days
1993-01-10,Angola,Zimbabwe,Angola,Angola,Zimbabwe,0,48.0,-17.0,10.0,27.0,0.0,0,0.0,0.0,7.812745999999999,11.28097,14.0
1993-01-16,South Africa,Nigeria,South Africa,South Africa,Nigeria,0,111.0,-45.0,5.0,50.0,0.0,0,0.0,0.0,39.641481,14.262229,14.0
1993-01-16,Tanzania,Zambia,Tanzania,Tanzania,Zambia,0,48.0,-23.0,15.0,38.0,-2.0,-1,0.0,0.0,6.764868999999999,7.039489999999997,14.0
1993-01-17,Benin,Tunisia,Benin,Benin,Tunisia,0,89.0,-31.0,4.0,35.0,-5.0,-1,0.0,0.0,24.579227,7.221665,14.0
1993-01-17,Burundi,Algeria,Burundi,Burundi,Algeria,0,70.0,-29.0,10.0,39.0,0.0,0,0.0,0.0,31.406942,28.25926,14.0
1993-01-17,Ethiopia,Morocco,Ethiopia,Ethiopia,Morocco,0,44.0,-18.0,14.0,32.0,-1.0,-1,0.0,0.0,22.646702,47.58229300000001,14.0
1993-01-17,Mozambique,Gabon,Mozambique,Mozambique,Gabon,0,52.0,-18.0,9.0,27.0,0.0,0,0.0,0.0,17.862006,23.920118,14.0
1993-01-17,Eswatini,Cameroon,Eswatini,Eswatini,Cameroon,0,82.0,-33.0,10.0,43.0,0.0,0,0.0,0.0,33.892222000000004,19.111178,14.0
1993-01-17,Togo,Zimbabwe,Togo,Togo,Zimbabwe,0,47.0,-17.0,10.0,27.0,-1.0,-1,0.0,0.0,27.634981,28.330075,14.0
1993-01-18,Angola,Egypt,Angola,Angola,Egypt,0,81.0,-35.0,10.0,45.0,0.0,0,0.0,0.0,38.023245,12.928611,8.0
1993-01-24,Malta,Portugal,Malta,Malta,Portugal,0,40.0,-19.0,19.0,38.0,-1.0,-1,0.0,0.0,3.462375999999999,22.59987,14.0
1993-01-30,Senegal,Mozambique,Senegal,Senegal,Mozambique,0,-56.0,18.0,27.0,9.0,5.0,1,0.0,0.0,33.163096,49.981924,14.0
1993-01-31,Congo,South Africa,Congo,Congo,South Africa,0,-34.0,8.0,13.0,5.0,-1.0,-1,0.0,0.0,30.331461,7.109846999999999,14.0
1993-01-31,Egypt,Togo,Egypt,Egypt,Togo,0,-80.0,35.0,45.0,10.0,3.0,1,0.0,0.0,18.20101,29.977716,14.0
1993-01-31,Ghana,Burundi,Ghana,Ghana,Burundi,0,-61.0,24.0,34.0,10.0,1.0,1,0.0,0.0,11.319583,30.94208,14.0
1993-01-31,Morocco,Benin,Morocco,Morocco,Benin,0,-86.0,28.0,32.0,4.0,5.0,1,0.0,0.0,22.484012,9.408454,14.0
1993-01-31,Tunisia,Ethiopia,Tunisia,Tunisia,Ethiopia,0,-47.0,21.0,35.0,14.0,3.0,1,0.0,0.0,24.741917,30.952174000000003,14.0
1993-01-31,Zimbabwe,Angola,Zimbabwe,Zimbabwe,Angola,0,-48.0,17.0,27.0,10.0,1.0,1,0.0,0.0,7.812745999999999,11.28097,14.0
1993-02-13,Cyprus,Belgium,Cyprus,Cyprus,Belgium,0,55.0,-28.0,20.0,48.0,-3.0,-1,0.0,0.0,15.377474,28.959923,14.0
1993-02-17,Albania,Northern Ireland,Albania,Albania,Northern Ireland,0,43.0,-17.0,14.0,31.0,-1.0,-1,0.0,0.0,13.634368000000002,26.660631,14.0
1993-02-17,England,San Marino,England,England,San Marino,0,-121.0,51.0,55.0,4.0,6.0,1,0.0,0.0,8.413139999999999,13.632077,14.0
1993-02-17,Greece,Luxembourg,Greece,Greece,Luxembourg,0,-72.0,28.0,38.0,10.0,2.0,1,0.0,0.0,10.741065,15.694729,14.0
1993-02-17,Israel,France,Israel,Israel,France,0,45.0,-23.0,23.0,46.0,-4.0,-1,0.0,0.0,15.181587,32.637863,14.0
1993-02-17,Scotland,Malta,Scotland,Scotland,Malta,0,-50.0,24.0,43.0,19.0,3.0,1,0.0,0.0,20.553203999999997,18.578016,14.0
1993-02-24,Netherlands,Turkey,Netherlands,Netherlands,Turkey,0,-35.0,23.0,54.0,31.0,2.0,1,0.0,0.0,13.168887999999995,29.952056,14.0
1993-02-24,Portugal,Italy,Portugal,Portugal,Italy,0,31.0,-19.0,38.0,57.0,-2.0,-1,0.0,0.0,2.472068,20.791834,14.0
1993-02-24,Spain,Lithuania,Spain,Spain,Lithuania,0,-78.0,37.0,49.0,12.0,5.0,1,0.0,0.0,14.705771,27.630495,14.0
1993-02-26,Algeria,Ghana,Algeria,Algeria,Ghana,0,-9.0,5.0,39.0,34.0,1.0,1,0.0,0.0,20.087359,2.68282,14.0
1993-02-27,Kenya,Guinea,Kenya,Kenya,Guinea,0,13.0,-7.0,17.0,24.0,2.0,1,0.0,0.0,9.969146,47.602838000000006,14.0
1993-02-27,Nigeria,Congo,Nigeria,Nigeria,Congo,0,-77.0,37.0,50.0,13.0,2.0,1,0.0,0.0,9.31002,7.152382000000001,14.0
1993-02-27,Senegal,Gabon,Senegal,Senegal,Gabon,0,-4.0,0.0,27.0,27.0,1.0,1,0.0,0.0,15.30109,26.061806,14.0
